Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-30 00:00:00-03:00,2416.68994140625,2572.187417528904,2416.68994140625,2416.68994140625,4422692,0.0,0.0
2020-12-01 00:00:00-03:00,2517.578125,2517.578125,2434.2759076286766,2517.578125,268663,0.0,0.0
2020-12-02 00:00:00-03:00,2510.173095703125,2535.071108660471,2454.6382927008435,2510.173095703125,505875,0.0,0.0
2020-12-03 00:00:00-03:00,2512.949951171875,2512.949951171875,2462.0430460836787,2512.949951171875,524548,0.0,0.0
2020-12-04 00:00:00-03:00,2439.36669921875,2517.57822875166,2430.481038610932,2439.36669921875,256388,0.0,0.0
2020-12-07 00:00:00-03:00,2401.880126953125,2462.0428276282514,2304.6942258625363,2401.880126953125,254711,0.0,0.0
2020-12-09 00:00:00-03:00,2429.463134765625,2479.536891725174,2364.1170773989734,2429.463134765625,236404,0.0,0.0
2020-12-10 00:00:00-03:00,2319.503662109375,2461.9503449045083,2319.503662109375,2319.503662109375,423861,0.0,0.0
2020-12-11 00:00:00-03:00,2313.9501953125,2369.485,2293.58743359375,2313.9501953125,178484,0.0,0.0
2020-12-14 00:00:00-03:00,2272.29931640625,2368.4670056406203,2268.5969957277875,2272.29931640625,186123,0.0,0.0
2020-12-15 00:00:00-03:00,2275.81640625,2323.2060624083715,2263.0433556129356,2275.81640625,154324,0.0,0.0
2020-12-16 00:00:00-03:00,2366.708251953125,2366.708251953125,2277.9452131426237,2366.708251953125,249520,0.0,0.0
2020-12-17 00:00:00-03:00,2451.769287109375,2451.8619355175265,2313.950486520882,2451.769287109375,327406,0.0,0.0
2020-12-18 00:00:00-03:00,2451.862060546875,2491.7546593574543,2439.8295174033833,2451.862060546875,1874970,0.0,0.0
2020-12-21 00:00:00-03:00,2378.740966796875,2406.4157226755924,2337.0898603743617,2378.740966796875,226029,0.0,0.0
2020-12-22 00:00:00-03:00,2378.740966796875,2434.275775360226,2365.7828447987595,2378.740966796875,46163,0.0,0.0
